word,shortf,braille,array,lang
a,a,⠁,"{1}",UEB
b,b,⠃,"{1,2}",UEB
c,c,⠉,"{1,4}",UEB
d,d,⠙,"{1,4,5}",UEB
e,e,⠑,"{1,5}",UEB
f,f,⠋,"{1,2,4}",UEB
g,g,⠛,"{1,2,4,5}",UEB
h,h,⠓,"{1,2,5}",UEB
i,i,⠊,"{2,4}",UEB
j,j,⠚,"{2,4,5}",UEB
k,k,⠅,"{1,3}",UEB
l,l,⠇,"{1,2,3}",UEB
m,m,⠍,"{1,3,4}",UEB
n,n,⠝,"{1,3,4,5}",UEB
o,o,⠕,"{1,3,5}",UEB
p,p,⠏,"{1,2,3,4}",UEB
q,q,⠟,"{1,2,3,4,5}",UEB
r,r,⠗,"{1,2,3,5}",UEB
s,s,⠎,"{2,3,4}",UEB
t,t,⠞,"{2,3,4,5}",UEB
u,u,⠥,"{1,3,6}",UEB
v,v,⠧,"{1,2,3,6}",UEB
w,w,⠺,"{2,4,5,6}",UEB
x,x,⠭,"{1,3,4,6}",UEB
y,y,⠽,"{1,3,4,5,6}",UEB
z,z,⠵,"{1,3,5,6}",UEB
and,and,⠯,"{1,2,3,4,6}",UEB
the,the,⠮,"{2,3,4,6}",UEB
for,for,⠿,"{1,2,3,4,5,6}",UEB
with,with,⠾,"{2,3,4,5,6}",UEB
about,ab,⠁⠃,"{{1},{1,2}}",UEB
after,af,⠁⠋,"{{1},{1,2,4}}",UEB
been,bn,⠃⠝,"{{1,2},{1,3,4,5}}",UEB
beyond,bd,⠃⠙,"{{1,2},{1,4,5}}",UEB
before,bo,⠃⠕,"{{1,2},{1,3,5}}",UEB
children,cr,⠉⠗,"{{1,4},{1,2,3,5}}",UEB
done,dn,⠙⠝,"{{1,4,5},{1,3,4,5}}",UEB
friend,fr,⠋⠗,"{{1,2,4},{1,2,3,5}}",UEB
final,fn,⠋⠝,"{{1,2,4},{1,3,4,5}}",UEB
great,gr,⠛⠗,"{{1,2,4,5},{1,2,3,5}}",UEB
had,hd,⠓⠙,"{{1,2,5},{1,4,5}}",UEB
hand,ha,⠓⠁,"{{1,2,5},{1}}",UEB
man,mn,⠍⠝,"{{1,3,4},{1,3,4,5}}",UEB
character,5 16,⠐⠡,"{{5},{1,6}}",UEB
some,5 234,⠐⠎,"{{5},{2,3,4}}",UEB
where,5 156,⠐⠱,"{{5},{1,5,6}}",UEB
there,5 2346,⠐⠮,"{{5},{2,3,4,6}}",UEB
through,5 1456,⠐⠹,"{{5},{1,4,5,6}}",UEB
father,5 124,⠐⠋,"{{5},{1,2,4}}",UEB
day,5 145,⠐⠙,"{{5},{1,4,5}}",UEB
know,5 134,⠐⠅,"{{5},{1,3}}",UEB
here,5 125,⠐⠓,"{{5},{1,2,5}}",UEB
young,5 13456,⠐⠽,"{{5},{1,3,4,5,6}}",UEB
and,12346,⠯,"{1,2,3,4,6}",UEB
for,123456,⠿,"{1,2,3,4,5,6}",UEB
of,12356,⠷,"{1,2,3,5,6}",UEB
the,2346,⠮,"{2,3,4,6}",UEB
with,23456,⠾,"{2,3,4,5,6}",UEB
child,16,⠡,"{1,6}",UEB
rather,1235,⠗,"{1,2,3,5}",UEB
this,1456,⠹,"{1,4,5,6}",UEB
which,156,⠱,"{1,5,6}",UEB
